objectid,filename,youtubeid,title,date,date is approximate?,description,subject,location,degree-latitude,degree-longitude,format,latitude,longitude
BallCreek-CedarRub-Bullelkbrowsing,BallCreek-CedarRub-Bullelkbrowsing.jpg,,Bullelkbrowsing,,,,,Ball Creek;Cedar Rub,,,image/jpg,48.770613,-116.619259
BallCreek-CedarRub-Bullelkcloseup,BallCreek-CedarRub-Bullelkcloseup.jpg,,Bullelkcloseup,,,,,Ball Creek;Cedar Rub,,,image/jpg,48.770613,-116.619259
BallCreek-CedarRub-Bullelkinvestigatesrub,BallCreek-CedarRub-Bullelkinvestigatesrub.jpg,,Bullelkinvestigatesrub,,,,,Ball Creek;Cedar Rub,,,image/jpg,48.770613,-116.619259
BallCreek-CedarRub-Cinnamonbearinvestigatestree2,BallCreek-CedarRub-Cinnamonbearinvestigatestree2.jpg,,Cinnamonbearinvestigatestree2,,,,,Ball Creek;Cedar Rub,,,image/jpg,48.770613,-116.619259
BallCreek-CedarRub-Cinnamonblackapproachestree,BallCreek-CedarRub-Cinnamonblackapproachestree.jpg,,Cinnamonblackapproachestree,,,,,Ball Creek;Cedar Rub,,,image/jpg,48.770613,-116.619259
BallCreek-CedarRub-Cinnamonblackbeardeparts,BallCreek-CedarRub-Cinnamonblackbeardeparts.jpg,,Cinnamonblackbeardeparts,,,,,Ball Creek;Cedar Rub,,,image/jpg,48.770613,-116.619259
BallCreek-CedarRub-Deckerfacescam,BallCreek-CedarRub-Deckerfacescam.jpg,,Deckerfacescam,,,,,Ball Creek;Cedar Rub,,,image/jpg,48.770613,-116.619259
BallCreek-CedarRub-Familypassestree,BallCreek-CedarRub-Familypassestree.jpg,,Familypassestree,,,,,Ball Creek;Cedar Rub,,,image/jpg,48.770613,-116.619259
BallCreek-CedarRub-Hikerpassestree,BallCreek-CedarRub-Hikerpassestree.jpg,,Hikerpassestree,,,,,Ball Creek;Cedar Rub,,,image/jpg,48.770613,-116.619259
BallCreek-CedarRub-Moosedeparture,BallCreek-CedarRub-Moosedeparture.jpg,,Moosedeparture,,,,,Ball Creek;Cedar Rub,,,image/jpg,48.770613,-116.619259
BallCreek-CedarRub-Mooseinvestigatestree,BallCreek-CedarRub-Mooseinvestigatestree.jpg,,Mooseinvestigatestree,,,,,Ball Creek;Cedar Rub,,,image/jpg,48.770613,-116.619259
BallCreek-SmallClearing-Blackbeargaze,BallCreek-SmallClearing-Blackbeargaze.jpg,,Blackbeargaze,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614
BallCreek-SmallClearing-Bullheadinfogblur,BallCreek-SmallClearing-Bullheadinfogblur.jpg,,Bullheadinfogblur,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614
