objectid,mapobjectid,filename,youtubeid,,title,date,date is approximate?,description,subject,location,degree-latitude,degree-longitude,format,latitude,longitude,type,language,rights,rightsstatement,object_template,object_download,image_small,image_thumb
Bull-Elk-Investigates,Bull-Elk-Investigates,Bull-Elk-Investigates.AVI,Zqk2J6wXyos,,Bull Elk Investigates,2020-07-04,,Bulk Elk investigates cedar tree,Bull elk; cedar tree; game camera,Ball creek drainage,"48Â°46'07.4""N","-116Â°37'26.6""W",video/avi,48.768722,-116.624056,Image;StillImage,eng,,,image,,,
Bull-Moose-Shoulder-Profile-Bell-and-Wind,Bull-Moose-Shoulder-Profile-Bell-and-Wind,Bull-Moose-Shoulder-Profile-Bell-and-Wind.AVI,RMywG_Qrp5E,,Bull Moose Shoulder Profile Bell and Wind,2020-07-10,,"Bull moose stands in front of game camera revealing shoulder, bell.",Bull moose; game camera,Ball creek drainage,"48Â°46'07.4""N","-116Â°37'26.6""W",video/avi,48.768722,-116.624056,Image;StillImage,eng,,,image,,,
Cinnamon-Bear-Rubs-2-0,Cinnamon-Bear-Rubs-2-0,Cinnamon-Bear-Rubs-2.0.AVI,acHU-aWvRyg,,Cinnamon Bear Rubs 2.0,2020-07-15,,Cinnamon bear rubs cedar tree,Cinnamon bear; cedar tree; game camera,Ball creek drainage,"48Â°46'07.4""N","-116Â°37'26.6""W",video/avi,48.768722,-116.624056,Image;StillImage,eng,,,image,,,
Man-Draws-Gun,Man-Draws-Gun,Man-Draws-Gun.AVI,u11iRryOoww,,Man Draws Gun,2020-07-10,,Man with family draws gun near cedar tree,Man; wife; two daughters; cedar tree; game camera,Ball creek drainage,"48Â°46'07.4""N","-116Â°37'26.6""W",video/avi,48.768722,-116.624056,Image;StillImage,eng,,,image,,,
Grizzly-Bear-Pipe,Grizzly-Bear-Pipe,Grizzly-Bear-Pipe.AVI,J0rZhbQu0yQ,,Grizzly Bear Pipe,2020-07-13,,"Grizzly bear passes game camera, investigates",Grizzly bear; game camera,Little Snowy Top,"48Â°57'11.9""N","-117Â°01'30.0""W",video/avi,48.953306,-117.025,Image;StillImage,eng,,,image,,,
Windy-Saddle,Windy-Saddle,Windy-Saddle.AVI,ORJ0jmas6jA,,Windy Saddle,2020-06-24,,Windstorm shakes trees near little snowy top,Trees; wind; game camera,Little Snowy Top,"48Â°57'11.9""N","-117Â°01'30.0""W",video/avi,48.953306,-117.025,Image;StillImage,eng,,,image,,,
Chimney-Rock-Encounter,Chimney-Rock-Encounter,Bob-Case,IcLEv19OuZo,,Chimney Rock Encounter,1994-07-01,y,Bob Case sees and photographs a bull caribou while hiking alone at Chimney Rock,Bob Case,"Chimney Rock, ID","48Â°37'07.6""N","-116Â°41'48.9""W",video/avi,48.618778,-116.696917,Image;StillImage,eng,,,image,,,
Caribou-Encounter-in-BC,Caribou-Encounter-in-BC,Bryce-Comer,c80vY9jA4ec,,Caribou Encounter in BC,2010,y,Bryce Comer recounts his experience filming caribou in southern BC,Bryce Comer,"Stagleap Provincial Park, BC","49Â°09'11.6""N","-116Â°59'49.4""W",video/avi,49.153222,-116.997056,Image;StillImage,eng,,,image,,,
Two-Mouth-Lakes-Encounter,Two-Mouth-Lakes-Encounter,Debbie-Ackley,evh-ANBad_I,,Two Mouth Lakes Encounter,1991,y,Debby Ackley describes seeing a caribou on her hike to Two Mouth Lakes,Debby Ackley,"Two Mouth Lakes, ID","48Â°42'32.5""N","-116Â°38'43.1""W",video/avi,48.709028,-116.645306,Image;StillImage,eng,,,image,,,
Schweitzer-Mt-Encounter,Schweitzer-Mt-Encounter,John-Nylund,OJXY8Yzuji4,,Schweitzer Mt. Encounter,1990,y,John Nylund describes seeing a caribou while working on the quad chair at Schweitzer Mt.,John Nylund,Schweitzer Mt. ID,"48Â°23'50.0""N","-116Â°36'25.8""W",video/avi,48.397222,-116.607167,Image;StillImage,eng,,,image,,,
